,Province,Count,Year,Ton
0,Quang Nam,5563,1965,3775.47
1,Gia Lai,3529,1965,3523.49
2,Long An,2461,1965,2496.93
3,Ha Tinh,2454,1965,1128.64
4,Binh Duong,2204,1965,2090.88
5,Quang Binh,2072,1965,959.0
6,Nghe An,2066,1965,862.12
7,Binh Thuan,1822,1965,1767.81
8,Dong Nai,1746,1965,1750.48
9,Quang Ngai,1734,1965,1446.25
10,Tien Giang,1709,1965,1567.34
11,Ben Tre,1514,1965,1473.92
12,Binh Dinh,1479,1965,1538.33
13,Tay Ninh,1324,1965,1223.1
14,Thanh Hoa,1268,1965,609.14
15,Kon Tum,1218,1965,1571.73
16,Binh Phuoc,1175,1965,1283.28
17,Ca Mau,1054,1965,1135.75
18,Tra Vinh,934,1965,1017.93
19,Son La,879,1965,512.18
20,TP. Ho Chi Minh,843,1965,906.96
21,Soc Trang,715,1965,775.79
22,Phu Yen,704,1965,811.63
23,Quang Tri,704,1965,664.03
24,Ba Ria - Vung Tau,674,1965,763.14
25,Dak Nong,651,1965,654.6
26,Thua Thien - Hue,585,1965,517.34
27,Hau Giang,551,1965,549.8
28,Da Nang,535,1965,270.94
29,Kien Giang,517,1965,508.97
30,Lam Dong,466,1965,443.5
31,Dien Bien,458,1965,151.45
32,Dong Thap,441,1965,373.47
33,Yen Bai,412,1965,224.55
34,Can Tho,342,1965,339.84
35,Bac Lieu,333,1965,388.04
36,Dak Lak,330,1965,304.52
37,An Giang,314,1965,374.11
38,Vinh Long,286,1965,306.13
39,Khanh Hoa,222,1965,217.99
40,Quang Ninh,155,1965,244.37
41,Lang Son,143,1965,253.75
42,Hai Duong,116,1965,204.32
43,Phu Tho,106,1965,20.83
44,Ninh Thuan,92,1965,125.92
45,Hoa Binh,87,1965,22.89
46,Bac Giang,76,1965,63.44
47,Ninh Binh,71,1965,107.85
48,Nam Dinh,56,1965,65.18
49,Tuyen Quang,51,1965,24.7
50,Thai Nguyen,50,1965,64.89
51,Lai Chau,35,1965,57.7
52,Lao Cai,35,1965,17.28
53,Hai Phong,33,1965,72.79
54,Bac Kan,31,1965,82.94
55,Ha Nam,21,1965,130.0
56,Ha Noi,11,1965,2.81
57,Thai Binh,7,1965,5.04
58,Ha Giang,3,1965,0.0
59,Quang Binh,34412,1966,41007.49
60,Quang Tri,25596,1966,26632.67
61,Quang Nam,22887,1966,18880.31
62,Quang Ngai,14724,1966,11368.93
63,Ha Tinh,13337,1966,14122.91
64,Tay Ninh,11617,1966,12143.51
65,Binh Duong,10467,1966,11900.43
66,Thanh Hoa,10231,1966,11250.53
67,Thua Thien - Hue,9981,1966,6865.03
68,Long An,9660,1966,9644.17
69,Nghe An,9614,1966,10020.63
70,Binh Dinh,9397,1966,8616.24
71,Gia Lai,9208,1966,7608.16
72,TP. Ho Chi Minh,9042,1966,10396.26
73,Kon Tum,6809,1966,7159.87
74,Dong Nai,6423,1966,5558.25
75,Binh Phuoc,6187,1966,5998.85
76,Phu Yen,5937,1966,5733.23
77,Tien Giang,5733,1966,5563.81
78,Dak Lak,4689,1966,3869.41
79,Binh Thuan,4578,1966,4587.67
80,Ben Tre,4563,1966,4601.95
81,Ba Ria - Vung Tau,4312,1966,4221.47
